대여소_ID,주소1
1648,금천구
1649,영등포구
1650,영등포구
1651,영등포구
1652,영등포구
1653,영등포구
1654,서초구
1655,서초구
1656,송파구
1657,송파구
1658,송파구
1659,성동구
1660,광진구
1661,광진구
1662,광진구
1663,광진구
1664,광진구
1665,강북구
1666,성북구
1667,동작구
1668,중구
1669,중구
1670,중구
1671,동대문구
1672,노원구
1673,은평구
1674,은평구
1675,마포구
1676,강서구
1677,영등포구
1678,관악구
1679,강남구
1680,강남구
1681,송파구
1682,송파구
1683,송파구
1684,송파구
1685,송파구
1686,강동구
1687,강동구
1688,강서구
1689,강서구
1690,광진구
1691,마포구
1692,마포구
1693,마포구
1694,강서구
1695,강서구
1696,구로구
1697,영등포구
1698,영등포구
1699,영등포구
1700,영등포구
1701,영등포구
1702,관악구
1703,강남구
1704,강남구
1705,송파구
1706,송파구
1707,송파구
1708,강서구
1709,강서구
1710,강서구
1711,강서구
1712,강서구
1713,강서구
1714,강서구
1715,강서구
1716,송파구
1717,송파구
1718,강서구
1719,송파구
1720,송파구
1721,용산구
1722,광진구
1723,성북구
1724,강북구
1725,강북구
1726,도봉구
1727,강서구
1728,송파구
1729,송파구
1730,송파구
1731,양천구
1732,구로구
1733,구로구
1734,금천구
1735,서초구
1736,양천구
1737,성동구
1738,성동구
1739,서초구
1740,노원구
1741,영등포구
1742,동작구
1743,서초구
1744,서초구
1745,성북구
1746,성북구
1747,성동구
1748,영등포구
1749,성동구
1750,강서구
1751,은평구
1752,종로구
1753,구로구
1754,마포구
1755,종로구
1756,종로구
1757,관악구
1758,동대문구
1759,종로구
1760,광진구
1761,중구
1762,강동구
1763,강동구
1764,강동구
1765,강동구
1766,강동구
1767,강동구
1768,중구
1769,중구
1770,중구
1771,중구
1772,중구
1773,중구
1774,중구
1775,중구
1776,중구
1777,중구
1778,중구
1779,중구
1780,중구
1781,중구
1782,중구
1783,중구
1784,중구
1785,중구
1786,중구
1787,중구
1788,중구
1789,중구
1790,중구
1791,중구
1792,송파구
1793,송파구
1794,송파구
1795,송파구
1796,송파구
1797,송파구
1798,종로구
1799,종로구
1800,종로구
1801,종로구
1802,종로구
1803,종로구
1804,종로구
1805,종로구
1806,종로구
1807,종로구
1808,종로구
1809,종로구
1810,종로구
1811,종로구
1812,종로구
1813,종로구
1814,종로구
1815,종로구
1816,종로구
1817,종로구
1818,종로구
1819,종로구
1820,종로구
1821,종로구
1822,종로구
1823,종로구
1824,종로구
1825,종로구
1826,종로구
1827,종로구
1828,종로구
1829,종로구
1830,강동구
1831,강동구
1832,강동구
1833,강동구
1834,강동구
1835,강동구
1836,강동구
1837,강동구
1838,강동구
1839,강동구
1840,강동구
1841,강동구
1842,강동구
1843,강동구
1844,강동구
1845,강동구
1846,강동구
1847,강동구
1848,강동구
1849,강동구
1850,강동구
1851,송파구
1852,송파구
1853,송파구
1854,송파구
1855,송파구
1856,송파구
1857,송파구
1858,송파구
1859,송파구
1860,송파구
1861,송파구
1862,송파구
1863,송파구
1864,송파구
1865,송파구
1866,송파구
1867,송파구
1868,송파구
1869,송파구
1870,송파구
1871,송파구
1872,송파구
1873,송파구
1874,송파구
1875,송파구
1876,송파구
1877,송파구
1878,송파구
1879,강남구
1880,강남구
1881,강남구
1882,강남구
1883,강남구
1884,강남구
1885,강남구
1886,강남구
1887,강남구
1888,강남구
1889,강남구
1890,강남구
1891,강남구
1892,강남구
1893,강남구
1894,강남구
1895,강남구
1896,강남구
1897,강남구
1898,강남구
1899,서초구
1900,서초구
1901,서초구
1902,서초구
1903,서초구
1904,서초구
1905,서초구
1906,서초구
1907,서초구
1908,서초구
1909,서초구
1910,서초구
1911,서초구
1912,서초구
1913,서초구
1914,서초구
1915,서초구
1916,서초구
1917,서초구
1918,서초구
1919,서초구
1920,서초구
1921,서초구
1922,서초구
1923,서초구
1924,서초구
1925,서초구
1926,서초구
1927,서초구
1928,서초구
1929,서초구
1930,서초구
1931,금천구
1932,금천구
1933,금천구
1934,금천구
1935,금천구
1936,금천구
1937,금천구
1938,금천구
1939,금천구
1940,금천구
1941,금천구
1942,구로구
1943,구로구
1944,구로구
1945,구로구
1946,구로구
1947,구로구
1948,구로구
1949,구로구
1950,구로구
1951,구로구
1952,구로구
1953,구로구
1954,구로구
1955,구로구
1956,구로구
1957,구로구
1958,구로구
1959,구로구
1960,구로구
1961,구로구
1962,구로구
1963,구로구
1964,구로구
1965,구로구
1966,구로구
1967,영등포구
1968,영등포구
1969,영등포구
1970,영등포구
1971,영등포구
1972,영등포구
1973,영등포구
1974,영등포구
1975,영등포구
1976,영등포구
1977,영등포구
1978,영등포구
1979,영등포구
1980,영등포구
1981,영등포구
1982,영등포구
1983,영등포구
1984,영등포구
1985,영등포구
1986,영등포구
1987,영등포구
1988,영등포구
1989,영등포구
1990,영등포구
1991,영등포구
1992,영등포구
1993,양천구
1994,양천구
1995,양천구
1996,양천구
1997,양천구
1998,양천구
1999,양천구
2000,양천구
2001,양천구
2002,양천구
2003,양천구
2004,양천구
2005,양천구
2006,양천구
2007,양천구
2008,양천구
2009,양천구
2010,양천구
2011,양천구
2012,양천구
2013,양천구
2014,양천구
2015,양천구
2016,양천구
2017,양천구
2018,강서구
2019,종로구
2020,강서구
2021,강서구
2022,강서구
2023,강서구
2024,강서구
2025,강서구
2026,강서구
2027,강서구
2028,강서구
2029,강서구
2030,강서구
2031,강서구
2032,강서구
2033,강서구
2034,강서구
2035,강서구
2036,강서구
2037,강서구
2038,강서구
2039,양천구
2040,강서구
2041,강서구
2042,강서구
2043,강서구
2044,강서구
2045,강서구
2046,강서구
2047,강서구
2048,강서구
2049,강서구
2050,강서구
2051,강서구
2052,강서구
2053,강서구
2054,강서구
2055,강서구
2056,강서구
2057,강서구
2058,강서구
2059,강서구
2060,노원구
2061,노원구
2062,노원구
2063,노원구
2064,노원구
2065,노원구
2066,노원구
2067,노원구
2068,노원구
2069,노원구
2070,노원구
2071,노원구
2072,노원구
2073,노원구
2074,노원구
2075,노원구
2076,노원구
2077,노원구
2078,노원구
2079,노원구
2080,노원구
2081,노원구
2082,노원구
2083,노원구
2084,노원구
2085,노원구
2086,노원구
2087,노원구
2088,도봉구
2089,도봉구
2090,도봉구
2091,도봉구
2092,도봉구
2093,도봉구
2094,도봉구
2095,도봉구
2096,도봉구
2097,도봉구
2098,도봉구
2099,도봉구
2100,도봉구
2101,도봉구
2102,도봉구
2103,도봉구
2104,도봉구
2105,도봉구
2106,도봉구
